"Column header","Title","FM-12","Units","Data type","Property URL","Description"
"method_of_snow_depth_measurement","Method of snow depth measurement","","code table","Integer","https://codes.wmo.int/bufr4/b/02/177","Method of observing the snow depth encoded using code table 0 02 177"
"snow_depth","Total snow depth","sss","meters","Decimal","https://codes.wmo.int/bufr4/b/13/013","Snow depth at time of observation to 2 decimal places"
"precipitation_intensity","Intensity of precipitation","","kg m-2 h-1","Decimal","https://codes.wmo.int/bufr4/b/13/155","Intensity of precipitation at time of observation to 5 decimal places"
"anemometer_height","Anemometer height","","meters","Decimal","https://codes.wmo.int/bufr4/b/07/032","Height of the anemometer above local ground  to 2 decimal place"
"time_period_of_wind","Time period","","minutes","Integer","https://codes.wmo.int/bufr4/b/04/025","Time period over which the wind speed and direction have been averegd. 10 minutes in normal cases or the number of minutes since a significant change occuring in the preceeding 10 minutes."
"wind_direction","Wind direction","dd","degrees","Integer","https://codes.wmo.int/bufr4/b/11/001","Wind direction (at anemometer height) averaged from the caterisan components over the indicated time period, 0 decimal places"
"wind_speed","Wind speed","ff (00fff)","ms-1","Decimal","https://codes.wmo.int/bufr4/b/11/002","Wind speed (at anemometer height) averaged from the cartesian components over the indicated time period, 1 decimal place"
"maximum_wind_gust_direction_10_minutes","Maximum wind gust direction (10 minutes)","","degrees","Integer","https://codes.wmo.int/bufr4/b/11/043","Highest 3 second average over the preceeding 10 minutes, 0 decimal places"
"maximum_wind_gust_speed_10_minutes","Maximum wind gust speed (10 minutes)","fmfm (910fmfm)","ms-1","Decimal","https://codes.wmo.int/bufr4/b/11/041","Highest 3 second average over the preceeding 10 minutes, 1 decimal place"
"maximum_wind_gust_direction_1_hour","Maximum wind gust direction (1 hour)","","degrees","Integer","https://codes.wmo.int/bufr4/b/11/043","Highest 3 second average over the preceeding hour, 0 decimal places"
"maximum_wind_gust_speed_1_hour","Maximum wind gust speed (1 hour)","fxfx (911fxfx)","ms-1","Decimal","https://codes.wmo.int/bufr4/b/11/041","Highest 3 second average over the preceeding hour, 1 decimal place"
"maximum_wind_gust_direction_3_hours","Maximum wind gust direction (3 hours)","","degrees","Integer","https://codes.wmo.int/bufr4/b/11/043","Highest 3 second average over the preceeding 3 hours, 0 decimal places"
"maximum_wind_gust_speed_3_hours","Maximum wind gust speed (3 hours)","fxfx (911fxfx)","ms-1","Decimal","https://codes.wmo.int/bufr4/b/11/041","Highest 3 second average over the preceeding 3 hours, 1 decimal place"
"rain_sensor_height","Height of rain sensor","","meters","Decimal","https://codes.wmo.int/bufr4/b/07/032","Height of the rain gauge above local ground to 2 decimal place"
"total_precipitation_1_hour","Total precipitation (1 hour)","","kg m-2","Decimal","https://codes.wmo.int/bufr4/b/13/011","Total precipitation over the past hour, 1 decimal place"
"total_precipitation_3_hours","Total precipitation (3 hours)","","kg m-2","Decimal","https://codes.wmo.int/bufr4/b/13/011","Total precipitation over the past 3 hours, 1 decimal place"
"total_precipitation_6_hours","Total precipitation (6 hours)","","kg m-2","Decimal","https://codes.wmo.int/bufr4/b/13/011","Total precipitation over the past 6 hours, 1 decimal place"
"total_precipitation_12_hours","Total precipitation (12 hours)","","kg m-2","Decimal","https://codes.wmo.int/bufr4/b/13/011","Total precipitation over the past 12 hours, 1 decimal place"
"total_precipitation_24_hours","Total precipitation (24 hours)","","kg m-2","Decimal","https://codes.wmo.int/bufr4/b/13/011","Total precipitation over the past 24 hours, 1 decimal place"
